name,cuisine,tags,calories,protein_g,carbs_g,fat_g,prep_time_min,cost_ghs,ingredients,instructions,image_url
Turkey and Black-eyed Pea Chili,International,"high-protein,budget,hearty",490,35,48,12,35,158.0,"[{""name"": ""Ground Turkey"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 75.0}, {""name"": ""Black-eyed Peas"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Canned Tomatoes"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Chili Powder"", ""qty"": 1, ""unit"": ""tsp"", ""cost_ghs"": 15.0}]","Brown turkey in a pot with onions. Add pre-soaked beans, tomatoes, and spices. Simmer for 30 minutes until thick.",/images/turkey-pea-chili.jpg
Banku and Okro Stew,Ghanaian,"traditional, high-protein, fiber-rich",550,30,65,18,45,135.0,"[{""name"": ""Corn dough"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 14.0}, {""name"": ""Cassava dough"", ""qty"": 75, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Okra"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Beef"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 22.0}]","Cook dough into banku. Sauté onions and tomatoes, add chopped okra and protein. Simmer until thickened.",/images/banku_okro_stew.jpg
Brown Rice Waakye,Ghanaian,"high-fiber, traditional, vegetarian-option",600,18,95,12,60,117.0,"[{""name"": ""Brown Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Black-eyed beans"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Waakye leaves"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 9.0}, {""name"": ""Shito"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Egg"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 18.0}]",Boil beans with waakye leaves until soft. Add rice and cook until tender. Serve with shito and egg.,/images/brown_rice_waakye.jpg
Tuo Zaafi and Ayoyo Soup,Ghanaian,"traditional, low-fat, regional",480,25,70,10,40,126.0,"[{""name"": ""Corn flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Ayoyo leaves"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Meat"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 63.0}, {""name"": ""Spices"", ""qty"": 1, ""unit"": ""set"", ""cost_ghs"": 14.0}]",Prepare corn swallow. Boil Ayoyo leaves with ground fish and meat. Combine and serve hot.,/images/tuo_zaafi.jpg
Omo Tuo and Groundnut Soup,Ghanaian,"traditional, high-protein, comfort-food",650,28,80,22,50,144.0,"[{""name"": ""Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Peanut butter"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Chicken"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 63.0}, {""name"": ""Vegetables"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 9.0}]",Cook rice until very soft and mold into balls. Simmer peanut butter with chicken broth and spices.,/images/omo_tuo_groundnut.jpg
Mpo Tormporm (Yam Porridge),Ghanaian,"quick, vegetarian-option, cheap",420,10,85,6,30,90.0,"[{""name"": ""Yam"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}, {""name"": ""Onion"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 9.0}, {""name"": ""Smoked fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}]","Peel and dice yam. Boil with onions, palm oil, and fish until soft and mushy. Mash slightly.",/images/mpo_tormporm.jpg
Healthy Red Red,Ghanaian,"vegetarian, high-protein, fiber-rich",520,22,80,14,45,99.0,"[{""name"": ""Black-eyed beans"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Ripe plantain"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 45.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}, {""name"": ""Tomato"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 9.0}]",Boil beans until soft. Air-fry plantain slices instead of deep frying. Sauté onions and mix with beans.,/images/healthy_red_red.jpg
Etɔ (Mashed Yam with Egg),Ghanaian,"traditional, quick, ceremonial",450,18,75,12,25,108.0,"[{""name"": ""Yam"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Peanuts"", ""qty"": 30, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Egg"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 27.0}, {""name"": ""Palm oil"", ""qty"": 10, ""unit"": ""ml"", ""cost_ghs"": 18.0}]",Boil yam and mash with a touch of palm oil. Top with roasted peanuts and hard-boiled eggs.,/images/eto_yam.jpg
Kokonte and Groundnut Soup,Ghanaian,"cheap, traditional, gluten-free",580,20,88,18,40,99.0,"[{""name"": ""Dried cassava flour"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Groundnut paste"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Dry fish"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Spices"", ""qty"": 1, ""unit"": ""set"", ""cost_ghs"": 9.0}]",Stir flour in boiling water to make kokonte. Simmer groundnut paste with fish and spices for the soup.,/images/kokonte_groundnut.jpg
Jollof Rice with Grilled Fish,West African,"popular, high-protein, balanced",620,35,75,16,60,150.0,"[{""name"": ""Rice"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Tilapia"", ""qty"": 250, ""unit"": ""g"", ""cost_ghs"": 75.0}, {""name"": ""Tomato paste"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 22.0}, {""name"": ""Oil"", ""qty"": 15, ""unit"": ""ml"", ""cost_ghs"": 15.0}]",Cook rice in a spiced tomato base. Season and grill tilapia separately. Serve with a side of salad.,/images/jollof_grilled_fish.jpg
Agushie Stew and Boiled Yam,Ghanaian,"traditional, high-protein, fiber-rich",540,24,70,20,45,135.0,"[{""name"": ""Melon seeds"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Yam"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Mackerel"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}]","Boil yam. Sauté agushie with tomatoes, onions, and spinach. Add fish and simmer until set.",/images/agushie_stew_yam.jpg
Goat Light Soup,Ghanaian,"low-carb, keto-friendly, traditional",380,40,15,18,70,165.0,"[{""name"": ""Goat meat"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Garden eggs"", ""qty"": 3, ""unit"": ""pcs"", ""cost_ghs"": 22.0}, {""name"": ""Tomato"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 15.0}, {""name"": ""Ginger"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 8.0}]",Steam goat meat with spices. Blend vegetables and strain into the pot. Boil until meat is tender.,/images/goat_light_soup.jpg
Brown Rice Jollof and Grilled Chicken,Ghanaian,"high-fiber, high-protein, healthy-choice",580,38,70,14,65,171.0,"[{""name"": ""Brown rice"", ""qty"": 180, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Chicken breast"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 72.0}, {""name"": ""Tomato sauce"", ""qty"": 100, ""unit"": ""ml"", ""cost_ghs"": 27.0}, {""name"": ""Mixed veggies"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Cook brown rice in tomato and pepper mix. Grill chicken breast with herbs. Serve together.,/images/brown_rice_chicken_jollof.jpg
Apapransa with Steamed Crab,Ghanaian,"traditional, seafood, regional",510,25,65,16,50,153.0,"[{""name"": ""Roasted corn flour"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Palm nut soup"", ""qty"": 200, ""unit"": ""ml"", ""cost_ghs"": 45.0}, {""name"": ""Crab"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 63.0}, {""name"": ""Anchovies"", ""qty"": 20, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Mix corn flour into hot palm nut soup and stir until thick. Garnish with steamed crab and smoked fish.,/images/apapransa_crab.jpg
Hausa Koko and Soya Koose,West African,"breakfast, vegetarian, quick",350,15,60,8,20,88.0,"[{""name"": ""Millet dough"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 33.0}, {""name"": ""Soya beans flour"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 44.0}, {""name"": ""Ginger"", ""qty"": 5, ""unit"": ""g"", ""cost_ghs"": 11.0}]","Boil water and add millet paste to make porridge. Fry soya bean batter into small, high-protein cakes.",/images/hausa_koko_koose.jpg
Grilled Guinea Fowl and Stir-fry Veggies,Ghanaian,"low-carb, high-protein, regional",440,45,12,22,40,181.0,"[{""name"": ""Guinea fowl"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 135.0}, {""name"": ""Mixed bell peppers"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}, {""name"": ""Onions"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 8.0}, {""name"": ""Olive oil"", ""qty"": 5, ""unit"": ""ml"", ""cost_ghs"": 8.0}]",Season and grill guinea fowl until charred and tender. Quickly stir-fry vegetables with minimal oil.,/images/guinea_fowl_veggies.jpg
Waakye Quinoa Bowl,Ghanaian,"high-protein,fusion,healthy",450,22,65,12,35,153.0,"[{""name"": ""Quinoa"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 72.0}, {""name"": ""Kidney Beans"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Waakye leaves"", ""qty"": 1, ""unit"": ""bunch"", ""cost_ghs"": 18.0}, {""name"": ""Shito"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 36.0}]",Boil quinoa with waakye leaves for color. Stir in pre-cooked beans and serve with shito.,/images/waakye-quinoa.jpg
Grilled Jerk Chicken with Sweet Potato,International,"high-protein,spicy,healthy",520,35,45,18,40,165.0,"[{""name"": ""Chicken Breast"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 90.0}, {""name"": ""Sweet Potato"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Jerk Seasoning"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}, {""name"": ""Bell Peppers"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 15.0}]",Marinate chicken in jerk spices and grill. Roast sweet potato wedges until tender.,/images/jerk-chicken-potato.jpg
Peanut Butter Tofu Stir Fry,International,"vegetarian,high-protein,fusion",480,25,35,26,25,162.0,"[{""name"": ""Firm Tofu"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 81.0}, {""name"": ""Peanut Butter"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 27.0}, {""name"": ""Broccoli"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Soy Sauce"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 18.0}]",Press tofu and cube it. Stir fry with vegetables and a peanut-soy sauce.,/images/peanut-tofu-stirfry.jpg
Zucchini Noodle Garden Egg Pasta,International,"low-carb,fusion,vegetarian",320,10,22,20,20,135.0,"[{""name"": ""Zucchini"", ""qty"": 2, ""unit"": ""medium"", ""cost_ghs"": 54.0}, {""name"": ""Garden Eggs"", ""qty"": 4, ""unit"": ""pcs"", ""cost_ghs"": 27.0}, {""name"": ""Olive Oil"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 36.0}, {""name"": ""Garlic"", ""qty"": 2, ""unit"": ""cloves"", ""cost_ghs"": 18.0}]",Spiralize zucchini into noodles. Sauté garden eggs and garlic then toss with noodles.,/images/zucchini-garden-egg.jpg
Millet and Grilled Turkey Salad,West African,"high-protein,gluten-free,healthy",410,28,40,15,30,180.0,"[{""name"": ""Millet"", ""qty"": 80, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Turkey Breast"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 98.0}, {""name"": ""Cucumber"", ""qty"": 1, ""unit"": ""medium"", ""cost_ghs"": 22.0}, {""name"": ""Lemon juice"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}]",Cook millet until fluffy. Toss with grilled turkey strips and chopped cucumbers.,/images/millet-turkey-salad.jpg
Coconut Poached Red Snapper,Ghanaian,"high-protein,seafood,keto",460,32,10,32,25,217.0,"[{""name"": ""Red Snapper Fillet"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 120.0}, {""name"": ""Coconut Milk"", ""qty"": 150, ""unit"": ""ml"", ""cost_ghs"": 52.0}, {""name"": ""Ginger"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 15.0}, {""name"": ""Spinach"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 30.0}]",Simmer fish in coconut milk and ginger. Add spinach at the end to wilt.,/images/coconut-snapper.jpg
Black-Eyed Pea Hummus Wrap,International,"vegetarian,quick,cheap",380,14,50,12,15,108.0,"[{""name"": ""Black-Eyed Peas"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Wheat Tortilla"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 36.0}, {""name"": ""Tahini"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 27.0}, {""name"": ""Carrots"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 18.0}]",Blend beans with tahini to make hummus. Spread on tortilla and wrap with shredded carrots.,/images/pea-hummus-wrap.jpg
Fonio Tabbouleh with Grilled Shrimp,West African,"superfood,high-protein,fresh",395,24,35,16,25,201.0,"[{""name"": ""Fonio"", ""qty"": 70, ""unit"": ""g"", ""cost_ghs"": 52.0}, {""name"": ""Shrimp"", ""qty"": 120, ""unit"": ""g"", ""cost_ghs"": 105.0}, {""name"": ""Parsley"", ""qty"": 1, ""unit"": ""bunch"", ""cost_ghs"": 22.0}, {""name"": ""Tomatoes"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 22.0}]",Steam fonio and cool. Mix with herbs and top with grilled seasoned shrimp.,/images/fonio-tabbouleh.jpg
Avocado and Plantain Sourdough Toast,International,"breakfast,vegetarian,quick",420,8,52,22,15,171.0,"[{""name"": ""Sourdough Bread"", ""qty"": 2, ""unit"": ""slices"", ""cost_ghs"": 72.0}, {""name"": ""Avocado"", ""qty"": 1, ""unit"": ""medium"", ""cost_ghs"": 45.0}, {""name"": ""Boiled Plantain"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 27.0}, {""name"": ""Chili Flakes"", ""qty"": 1, ""unit"": ""tsp"", ""cost_ghs"": 27.0}]",Toast bread and top with mashed avocado. Layer with sliced boiled plantain and chili.,/images/avocado-plantain-toast.jpg
Brown Rice Jollof with Tofu,Ghanaian,"vegetarian,fiber-rich,healthy",440,18,68,10,45,144.0,"[{""name"": ""Brown Rice"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Tofu"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Tomato Paste"", ""qty"": 2, ""unit"": ""tbsp"", ""cost_ghs"": 18.0}, {""name"": ""Onions"", ""qty"": 1, ""unit"": ""medium"", ""cost_ghs"": 18.0}]",Cook brown rice in a tomato and onion base. Stir in pan-seared tofu cubes.,/images/brown-rice-jollof.jpg
Curried Okra and Chickpea Stew,West African,"vegan,high-fiber,healthy",350,12,45,14,30,126.0,"[{""name"": ""Okra"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 36.0}, {""name"": ""Chickpeas"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 45.0}, {""name"": ""Curry Powder"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 18.0}, {""name"": ""Coconut Oil"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 27.0}]",Sauté okra and chickpeas with curry powder. Simmer until the sauce thickens.,/images/curry-okra-chickpea.jpg
Ginger-Lime Tilapia with Cauliflower Rice,International,"low-carb,high-protein,seafood",310,34,12,14,25,187.0,"[{""name"": ""Tilapia Fillet"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 105.0}, {""name"": ""Cauliflower"", ""qty"": 300, ""unit"": ""g"", ""cost_ghs"": 52.0}, {""name"": ""Lime"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 15.0}, {""name"": ""Ginger"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 15.0}]",Steam fish with ginger and lime. Serve over riced and sautéed cauliflower.,/images/ginger-tilapia-cauli.jpg
Savory Oat Porridge with Spinach and Egg,International,"breakfast,quick,healthy",385,16,42,18,15,99.0,"[{""name"": ""Oats"", ""qty"": 60, ""unit"": ""g"", ""cost_ghs"": 27.0}, {""name"": ""Spinach"", ""qty"": 50, ""unit"": ""g"", ""cost_ghs"": 18.0}, {""name"": ""Egg"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 27.0}, {""name"": ""Butter"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 27.0}]",Cook oats in water with spinach. Top with a poached or fried egg.,/images/savory-oats.jpg
Grilled Beef Kofta with Yam Fries,International,"high-protein,fusion,popular",550,30,55,22,35,195.0,"[{""name"": ""Minced Beef"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 105.0}, {""name"": ""Yam"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Spices"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 22.0}, {""name"": ""Parsley"", ""qty"": 10, ""unit"": ""g"", ""cost_ghs"": 30.0}]",Shape spiced beef into koftas and grill. Serve with baked yam strips.,/images/beef-kofta-yam.jpg
Lemon Herb Chicken with Steamed Cocoyam,Ghanaian,"traditional,high-protein,clean",490,32,50,16,40,150.0,"[{""name"": ""Chicken Drumsticks"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 82.0}, {""name"": ""Cocoyam"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 38.0}, {""name"": ""Lemon"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 15.0}, {""name"": ""Mixed Herbs"", ""qty"": 1, ""unit"": ""tsp"", ""cost_ghs"": 15.0}]",Marinate chicken in lemon and herbs then roast. Serve with peeled steamed cocoyam.,/images/lemon-chicken-cocoyam.jpg
Waakye and Fried Fish,Ghanaian,"traditional,high-protein,filling",650,35,85,18,45,99.0,"[{""name"": ""Rice"", ""qty"": 1, ""unit"": ""cup"", ""cost_ghs"": 13.0}, {""name"": ""Beans"", ""qty"": 0.5, ""unit"": ""cup"", ""cost_ghs"": 14.0}, {""name"": ""Snapper Fish"", ""qty"": 150, ""unit"": ""g"", ""cost_ghs"": 54.0}, {""name"": ""Shito"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 9.0}, {""name"": ""Sorghum Leaves"", ""qty"": 2, ""unit"": ""pcs"", ""cost_ghs"": 9.0}]",Boil rice and beans with sorghum leaves until dark purple. Serve with fried fish and shito.,/images/waakye-fish.jpg
Banku and Okro Stew,Ghanaian,"traditional,high-fiber,low-fat",550,30,70,15,50,108.0,"[{""name"": ""Corn dough"", ""qty"": 200, ""unit"": ""g"", ""cost_ghs"": 14.0}, {""name"": ""Cassava dough"", ""qty"": 100, ""unit"": ""g"", ""cost_ghs"": 9.0}, {""name"": ""Okro"", ""qty"": 10, ""unit"": ""pcs"", ""cost_ghs"": 27.0}, {""name"": ""Mackerel"", ""qty"": 1, ""unit"": ""pc"", ""cost_ghs"": 45.0}, {""name"": ""Palm oil"", ""qty"": 1, ""unit"": ""tbsp"", ""cost_ghs"": 13.0}]",Cook banku by stirring dough in hot water. Simmer chopped okro with fish and spices.,/images/banku-okro.jpg
